Year,State,Vehicle Type,Registrations,EV Share (%),Chargers,FAME II Policy,Monthly Income Bracket (Main Buyer),Age Group,City Type,Psychographic Segment
2015,Punjab,3W,2295,0.19,129,0,<20000,60+,Rural,Cost-conscious
2015,Punjab,4W,1366,0.91,106,0,<20000,36-45,Rural,Cost-conscious
2015,Telangana,2W,6681,1.11,99,0,40000-60000,36-45,Rural,Eco-conscious
2015,Telangana,3W,11453,2.08,87,0,60000-100000,18-25,Semi-Urban,Luxury-focused
2015,Telangana,4W,1776,2.1,135,0,>100000,36-45,Rural,Luxury-focused
2016,Delhi,2W,8780,0.94,98,0,>100000,26-35,Urban,Eco-conscious
2016,Delhi,3W,14645,0.8,110,0,>100000,46-60,Semi-Urban,Tech-savvy
2016,Delhi,4W,10871,1.63,14,0,40000-60000,18-25,Rural,Practical
2016,Maharashtra,2W,1820,1.66,80,0,60000-100000,46-60,Rural,Eco-conscious
2016,Maharashtra,3W,11990,1.59,150,0,40000-60000,46-60,Semi-Urban,Practical
2016,Maharashtra,4W,10855,1.58,60,0,60000-100000,46-60,Semi-Urban,Luxury-focused
2016,Karnataka,2W,2737,0.44,112,0,20000-40000,60+,Urban,Cost-conscious
2016,Karnataka,3W,10777,2.13,39,0,>100000,36-45,Urban,Tech-savvy
2016,Karnataka,4W,4595,0.98,134,0,<20000,60+,Rural,Practical
2016,Tamil Nadu,2W,1456,0.77,119,0,>100000,26-35,Semi-Urban,Cost-conscious
2016,Tamil Nadu,3W,8747,0.28,21,0,20000-40000,26-35,Rural,Eco-conscious
2016,Tamil Nadu,4W,590,2.01,2,0,20000-40000,26-35,Rural,Practical
2016,Gujarat,2W,9834,1.78,93,0,60000-100000,60+,Rural,Tech-savvy
2016,Gujarat,3W,2129,0.3,139,0,20000-40000,36-45,Rural,Tech-savvy
2016,Gujarat,4W,7085,1.7,26,0,<20000,46-60,Rural,Eco-conscious
2016,Uttar Pradesh,2W,13676,0.5,108,0,40000-60000,46-60,Urban,Luxury-focused
2016,Uttar Pradesh,3W,14550,1.84,115,0,60000-100000,46-60,Rural,Tech-savvy
2016,Uttar Pradesh,4W,1984,0.7,51,0,>100000,36-45,Semi-Urban,Tech-savvy
2016,West Bengal,2W,3294,1.48,66,0,20000-40000,18-25,Semi-Urban,Cost-conscious
2016,West Bengal,3W,765,2.08,6,0,20000-40000,26-35,Rural,Practical
2016,West Bengal,4W,6128,0.93,91,0,20000-40000,60+,Urban,Practical
2016,Rajasthan,2W,13926,1.67,31,0,40000-60000,60+,Rural,Tech-savvy
2016,Rajasthan,3W,9939,1.95,73,0,>100000,26-35,Rural,Practical
2016,Rajasthan,4W,7768,0.62,127,0,>100000,18-25,Rural,Cost-conscious
2016,Punjab,2W,5437,2.25,108,0,20000-40000,26-35,Semi-Urban,Practical
2016,Punjab,3W,4949,0.14,29,0,>100000,46-60,Urban,Eco-conscious
2016,Punjab,4W,11765,1.42,41,0,40000-60000,18-25,Rural,Tech-savvy
2016,Telangana,2W,9742,1.62,105,0,60000-100000,18-25,Urban,Cost-conscious
2016,Telangana,3W,13005,2.19,50,0,40000-60000,36-45,Rural,Eco-conscious
2016,Telangana,4W,1686,0.97,56,0,60000-100000,18-25,Rural,Practical
2017,Delhi,2W,13497,0.68,82,0,20000-40000,18-25,Urban,Luxury-focused
2017,Delhi,3W,8675,1.02,111,0,>100000,36-45,Semi-Urban,Eco-conscious
2017,Delhi,4W,12982,1.59,102,0,60000-100000,26-35,Semi-Urban,Tech-savvy
2017,Maharashtra,2W,3920,0.57,43,0,60000-100000,60+,Urban,Eco-conscious
2017,Maharashtra,3W,12653,1.28,23,0,60000-100000,46-60,Rural,Cost-conscious
2017,Maharashtra,4W,1011,0.16,78,0,20000-40000,18-25,Rural,Practical
2017,Karnataka,2W,5222,2.08,146,0,60000-100000,36-45,Semi-Urban,Tech-savvy
2017,Karnataka,3W,5843,1.01,77,0,20000-40000,46-60,Semi-Urban,Eco-conscious
2017,Karnataka,4W,8057,1.3,66,0,>100000,60+,Rural,Eco-conscious
2017,Tamil Nadu,2W,1456,0.67,92,0,60000-100000,18-25,Urban,Practical
2017,Tamil Nadu,3W,14655,1.47,88,0,60000-100000,26-35,Urban,Eco-conscious
2017,Tamil Nadu,4W,2212,0.54,101,0,<20000,26-35,Rural,Tech-savvy
2017,Gujarat,2W,4289,1.19,123,0,60000-100000,60+,Semi-Urban,Cost-conscious
2017,Gujarat,3W,13889,2.36,19,0,60000-100000,46-60,Urban,Practical
2017,Gujarat,4W,11856,1.92,42,0,>100000,26-35,Rural,Cost-conscious
2017,Uttar Pradesh,2W,13261,1.88,23,0,60000-100000,18-25,Rural,Cost-conscious
2017,Uttar Pradesh,3W,14491,0.43,97,0,<20000,36-45,Urban,Practical
2017,Uttar Pradesh,4W,1974,0.38,34,0,60000-100000,36-45,Semi-Urban,Eco-conscious
2017,West Bengal,2W,6861,1.21,122,0,60000-100000,18-25,Semi-Urban,Tech-savvy
2017,West Bengal,3W,6365,2.36,28,0,40000-60000,36-45,Urban,Cost-conscious
2017,West Bengal,4W,2682,0.58,51,0,>100000,36-45,Urban,Eco-conscious
2017,Rajasthan,2W,8672,1.99,74,0,20000-40000,18-25,Semi-Urban,Eco-conscious
2017,Rajasthan,3W,10050,1.16,68,0,<20000,36-45,Semi-Urban,Eco-conscious
2017,Rajasthan,4W,11874,1.71,109,0,>100000,18-25,Rural,Cost-conscious
2017,Punjab,2W,11613,0.94,92,0,40000-60000,26-35,Rural,Practical
2017,Punjab,3W,12079,1.63,28,0,>100000,60+,Rural,Cost-conscious
2017,Punjab,4W,10104,2.0,31,0,20000-40000,60+,Urban,Practical
2017,Telangana,2W,13850,1.11,138,0,>100000,36-45,Rural,Eco-conscious
2017,Telangana,3W,5261,2.25,71,0,40000-60000,60+,Urban,Tech-savvy
2017,Telangana,4W,7122,0.4,144,0,40000-60000,46-60,Urban,Cost-conscious
2018,Delhi,2W,80534,7.89,591,0,40000-60000,46-60,Rural,Cost-conscious
2018,Delhi,3W,69156,0.81,966,0,>100000,18-25,Urban,Luxury-focused
2018,Delhi,4W,82235,0.64,202,0,60000-100000,26-35,Rural,Practical
2018,Maharashtra,2W,16475,10.38,360,0,40000-60000,18-25,Rural,Tech-savvy
2018,Maharashtra,3W,85416,11.95,1935,0,20000-40000,26-35,Rural,Cost-conscious
2018,Maharashtra,4W,63355,6.55,1794,0,20000-40000,36-45,Rural,Practical
2018,Karnataka,2W,79875,3.47,962,0,<20000,26-35,Rural,Practical
2018,Karnataka,3W,13563,11.23,1768,0,40000-60000,36-45,Semi-Urban,Luxury-focused
2018,Karnataka,4W,4881,11.18,562,0,<20000,36-45,Urban,Eco-conscious
2018,Tamil Nadu,2W,6181,2.9,1597,0,40000-60000,60+,Semi-Urban,Luxury-focused
2018,Tamil Nadu,3W,80594,5.78,378,0,20000-40000,18-25,Urban,Practical
2018,Tamil Nadu,4W,20775,3.71,1538,0,<20000,26-35,Rural,Luxury-focused
2018,Gujarat,2W,1836,9.37,598,0,20000-40000,60+,Rural,Practical
2018,Gujarat,3W,80902,8.48,1345,0,60000-100000,46-60,Urban,Luxury-focused
2018,Gujarat,4W,9308,6.49,599,0,20000-40000,36-45,Urban,Tech-savvy
2018,Uttar Pradesh,2W,37413,2.6,965,0,20000-40000,60+,Semi-Urban,Cost-conscious
2018,Uttar Pradesh,3W,43606,2.66,1634,0,20000-40000,26-35,Urban,Practical
2018,Uttar Pradesh,4W,10006,9.22,1863,0,>100000,46-60,Rural,Eco-conscious
2018,West Bengal,2W,6618,5.02,510,0,>100000,18-25,Urban,Tech-savvy
2018,West Bengal,3W,67707,7.48,732,0,40000-60000,18-25,Semi-Urban,Tech-savvy
2018,West Bengal,4W,39106,1.89,654,0,60000-100000,60+,Rural,Luxury-focused
2018,Rajasthan,2W,39216,1.33,65,0,40000-60000,46-60,Urban,Luxury-focused
2018,Rajasthan,3W,13029,4.97,489,0,60000-100000,46-60,Urban,Practical
2018,Rajasthan,4W,17718,1.21,1674,0,60000-100000,26-35,Rural,Cost-conscious
2018,Punjab,2W,68258,4.53,495,0,20000-40000,26-35,Semi-Urban,Eco-conscious
2018,Punjab,3W,53871,3.32,1586,0,<20000,36-45,Rural,Luxury-focused
2018,Punjab,4W,17173,1.01,1001,0,>100000,26-35,Rural,Practical
2018,Telangana,2W,5591,0.73,1196,0,60000-100000,60+,Urban,Practical
2018,Telangana,3W,1073,7.52,789,0,60000-100000,60+,Urban,Eco-conscious
2018,Telangana,4W,47287,8.0,1880,0,40000-60000,18-25,Semi-Urban,Luxury-focused
2019,Delhi,2W,54838,4.56,896,1,60000-100000,36-45,Rural,Tech-savvy
2019,Delhi,3W,60944,0.88,913,1,<20000,18-25,Rural,Cost-conscious
2019,Delhi,4W,19614,6.82,1087,1,<20000,18-25,Semi-Urban,Tech-savvy
2019,Maharashtra,2W,86608,4.09,346,1,40000-60000,26-35,Rural,Luxury-focused
2019,Maharashtra,3W,35725,8.08,464,1,<20000,18-25,Semi-Urban,Tech-savvy
2019,Maharashtra,4W,84969,4.64,1174,1,20000-40000,60+,Semi-Urban,Cost-conscious
2019,Karnataka,2W,82070,5.92,1504,1,>100000,26-35,Semi-Urban,Luxury-focused
2019,Karnataka,3W,8213,6.23,608,1,40000-60000,36-45,Urban,Practical
2019,Karnataka,4W,30973,5.37,1590,1,<20000,36-45,Urban,Eco-conscious
2019,Tamil Nadu,2W,83230,7.65,334,1,40000-60000,60+,Semi-Urban,Eco-conscious
2019,Tamil Nadu,3W,10476,4.87,1322,1,40000-60000,46-60,Urban,Tech-savvy
2019,Tamil Nadu,4W,34362,8.75,535,1,40000-60000,36-45,Semi-Urban,Tech-savvy
2019,Gujarat,2W,85062,8.03,561,1,20000-40000,26-35,Semi-Urban,Eco-conscious
2019,Gujarat,3W,15671,5.71,49,1,20000-40000,60+,Rural,Luxury-focused
2019,Gujarat,4W,56851,4.51,1329,1,<20000,26-35,Semi-Urban,Eco-conscious
2019,Uttar Pradesh,2W,89968,11.05,1870,1,<20000,36-45,Rural,Tech-savvy
2019,Uttar Pradesh,3W,76285,11.13,1607,1,<20000,60+,Semi-Urban,Tech-savvy
2019,Uttar Pradesh,4W,80236,1.1,1384,1,<20000,18-25,Urban,Eco-conscious
2019,West Bengal,2W,42755,7.81,490,1,40000-60000,36-45,Urban,Luxury-focused
2019,West Bengal,3W,76565,11.62,1875,1,>100000,60+,Semi-Urban,Luxury-focused
2019,West Bengal,4W,23093,7.86,278,1,40000-60000,36-45,Semi-Urban,Tech-savvy
2019,Rajasthan,2W,56897,9.04,566,1,20000-40000,26-35,Urban,Practical
2019,Rajasthan,3W,59727,6.82,575,1,40000-60000,18-25,Semi-Urban,Cost-conscious
2019,Rajasthan,4W,70629,5.08,1443,1,60000-100000,18-25,Rural,Tech-savvy
2019,Punjab,2W,37472,10.12,1425,1,40000-60000,26-35,Urban,Luxury-focused
2019,Punjab,3W,70920,7.26,1888,1,>100000,18-25,Semi-Urban,Cost-conscious
2019,Punjab,4W,82433,9.83,1487,1,<20000,46-60,Semi-Urban,Eco-conscious
2019,Telangana,2W,50284,7.66,569,1,60000-100000,26-35,Rural,Practical
2019,Telangana,3W,15616,1.04,1307,1,60000-100000,18-25,Semi-Urban,Eco-conscious
2019,Telangana,4W,89527,2.28,1828,1,>100000,18-25,Semi-Urban,Tech-savvy
2020,Delhi,2W,29761,8.09,1106,1,20000-40000,26-35,Rural,Tech-savvy
2020,Delhi,3W,37990,1.2,212,1,<20000,60+,Rural,Eco-conscious
2020,Delhi,4W,59653,3.63,1624,1,>100000,60+,Rural,Cost-conscious
2020,Maharashtra,2W,63330,2.55,248,1,60000-100000,26-35,Urban,Cost-conscious
2020,Maharashtra,3W,26899,7.93,830,1,>100000,36-45,Urban,Cost-conscious
2020,Maharashtra,4W,71211,5.07,1356,1,40000-60000,36-45,Semi-Urban,Luxury-focused
2020,Karnataka,2W,23533,7.4,210,1,>100000,36-45,Semi-Urban,Practical
2020,Karnataka,3W,81014,2.98,1913,1,20000-40000,26-35,Semi-Urban,Practical
2020,Karnataka,4W,8318,7.39,527,1,20000-40000,26-35,Rural,Cost-conscious
2020,Tamil Nadu,2W,50260,11.28,133,1,60000-100000,18-25,Rural,Luxury-focused
2020,Tamil Nadu,3W,71484,11.74,959,1,20000-40000,46-60,Urban,Luxury-focused
2020,Tamil Nadu,4W,14757,11.54,895,1,40000-60000,46-60,Rural,Cost-conscious
2020,Gujarat,2W,44569,9.84,1518,1,40000-60000,18-25,Semi-Urban,Luxury-focused
2020,Gujarat,3W,20459,1.36,598,1,60000-100000,46-60,Semi-Urban,Cost-conscious
2020,Gujarat,4W,47306,6.95,809,1,40000-60000,18-25,Semi-Urban,Tech-savvy
2020,Uttar Pradesh,2W,75078,4.69,1370,1,60000-100000,36-45,Urban,Practical
2020,Uttar Pradesh,3W,77544,4.76,45,1,20000-40000,18-25,Rural,Eco-conscious
2020,Uttar Pradesh,4W,51148,6.73,96,1,>100000,26-35,Rural,Cost-conscious
2020,West Bengal,2W,18411,9.13,1424,1,<20000,36-45,Urban,Practical
2020,West Bengal,3W,49045,4.41,1653,1,40000-60000,26-35,Urban,Practical
2020,West Bengal,4W,15947,10.7,1812,1,20000-40000,46-60,Semi-Urban,Luxury-focused
2020,Rajasthan,2W,46810,8.36,979,1,>100000,46-60,Urban,Eco-conscious
2020,Rajasthan,3W,56444,9.07,1130,1,60000-100000,36-45,Semi-Urban,Luxury-focused
2020,Rajasthan,4W,42345,6.19,119,1,<20000,60+,Urban,Cost-conscious
2020,Punjab,2W,33779,11.22,1443,1,60000-100000,36-45,Rural,Cost-conscious
2020,Punjab,3W,78297,6.13,1340,1,>100000,26-35,Rural,Luxury-focused
2020,Punjab,4W,84440,6.23,1586,1,>100000,18-25,Semi-Urban,Tech-savvy
2020,Telangana,2W,49046,0.88,1041,1,<20000,36-45,Semi-Urban,Cost-conscious
2020,Telangana,3W,77145,6.73,1814,1,60000-100000,36-45,Urban,Tech-savvy
2020,Telangana,4W,59576,4.72,726,1,20000-40000,18-25,Rural,Tech-savvy
2021,Delhi,2W,89617,1.01,1394,1,>100000,26-35,Rural,Practical
2021,Delhi,3W,54528,3.79,1921,1,>100000,46-60,Rural,Tech-savvy
2021,Delhi,4W,51040,9.49,352,1,40000-60000,36-45,Semi-Urban,Cost-conscious
2021,Maharashtra,2W,88262,4.05,1683,1,>100000,36-45,Rural,Practical
2021,Maharashtra,3W,34347,6.3,808,1,40000-60000,36-45,Semi-Urban,Practical
2021,Maharashtra,4W,28271,2.84,1445,1,60000-100000,60+,Semi-Urban,Cost-conscious
2021,Karnataka,2W,70384,5.87,1406,1,>100000,36-45,Urban,Eco-conscious
2021,Karnataka,3W,89909,5.84,326,1,>100000,18-25,Rural,Luxury-focused
2021,Karnataka,4W,10284,8.78,684,1,60000-100000,46-60,Urban,Eco-conscious
2021,Tamil Nadu,2W,52931,7.78,932,1,>100000,18-25,Semi-Urban,Eco-conscious
2021,Tamil Nadu,3W,63904,5.1,901,1,40000-60000,36-45,Semi-Urban,Luxury-focused
2021,Tamil Nadu,4W,74551,11.35,64,1,<20000,36-45,Urban,Cost-conscious
2021,Gujarat,2W,13366,2.05,965,1,60000-100000,36-45,Urban,Eco-conscious
2021,Gujarat,3W,35126,8.44,935,1,40000-60000,46-60,Rural,Cost-conscious
2021,Gujarat,4W,59321,6.27,406,1,60000-100000,26-35,Rural,Tech-savvy
2021,Uttar Pradesh,2W,28464,3.46,1583,1,20000-40000,36-45,Semi-Urban,Practical
2021,Uttar Pradesh,3W,7413,3.17,537,1,60000-100000,46-60,Rural,Practical
2021,Uttar Pradesh,4W,11723,0.88,1499,1,40000-60000,18-25,Rural,Luxury-focused
2021,West Bengal,2W,35065,2.71,444,1,40000-60000,26-35,Semi-Urban,Practical
2021,West Bengal,3W,52681,7.27,1867,1,>100000,46-60,Rural,Practical
2021,West Bengal,4W,7359,10.39,1170,1,60000-100000,36-45,Semi-Urban,Luxury-focused
2021,Rajasthan,2W,51575,10.13,213,1,<20000,46-60,Semi-Urban,Tech-savvy
2021,Rajasthan,3W,34896,10.98,857,1,20000-40000,60+,Semi-Urban,Eco-conscious
2021,Rajasthan,4W,58685,7.25,65,1,20000-40000,36-45,Urban,Luxury-focused
2021,Punjab,2W,13738,8.64,328,1,40000-60000,18-25,Urban,Practical
2021,Punjab,3W,73341,9.53,482,1,60000-100000,46-60,Rural,Tech-savvy
2021,Punjab,4W,63284,10.68,1699,1,20000-40000,60+,Semi-Urban,Cost-conscious
2021,Telangana,2W,49680,9.16,399,1,60000-100000,26-35,Semi-Urban,Tech-savvy
2021,Telangana,3W,37590,9.22,1581,1,>100000,26-35,Semi-Urban,Practical
2021,Telangana,4W,46700,7.91,1958,1,<20000,18-25,Rural,Luxury-focused
2022,Delhi,2W,33540,8.74,1603,1,>100000,26-35,Urban,Practical
2022,Delhi,3W,79123,9.82,802,1,40000-60000,46-60,Rural,Tech-savvy
2022,Delhi,4W,9497,10.82,822,1,60000-100000,18-25,Urban,Eco-conscious
2022,Maharashtra,2W,28830,8.55,773,1,<20000,18-25,Semi-Urban,Eco-conscious
2022,Maharashtra,3W,39389,7.19,29,1,60000-100000,46-60,Rural,Luxury-focused
2022,Maharashtra,4W,89908,6.22,688,1,<20000,46-60,Semi-Urban,Tech-savvy
2022,Karnataka,2W,66054,5.13,1539,1,60000-100000,26-35,Urban,Luxury-focused
2022,Karnataka,3W,37149,1.28,1547,1,40000-60000,60+,Urban,Cost-conscious
2022,Karnataka,4W,37323,1.79,113,1,40000-60000,36-45,Rural,Eco-conscious
2022,Tamil Nadu,2W,9618,10.73,1625,1,60000-100000,36-45,Semi-Urban,Cost-conscious
2022,Tamil Nadu,3W,55353,8.44,154,1,>100000,60+,Rural,Practical
2022,Tamil Nadu,4W,10339,11.32,1929,1,<20000,36-45,Rural,Practical
2022,Gujarat,2W,19163,11.47,374,1,<20000,46-60,Rural,Tech-savvy
2022,Gujarat,3W,30354,1.17,302,1,60000-100000,18-25,Semi-Urban,Practical
2022,Gujarat,4W,22874,4.83,1210,1,>100000,36-45,Rural,Tech-savvy
2022,Uttar Pradesh,2W,69230,4.49,1783,1,60000-100000,46-60,Rural,Cost-conscious
2022,Uttar Pradesh,3W,87989,5.05,793,1,40000-60000,60+,Urban,Cost-conscious
2022,Uttar Pradesh,4W,43297,2.51,1735,1,<20000,18-25,Rural,Practical
2022,West Bengal,2W,6028,10.61,1359,1,>100000,18-25,Semi-Urban,Eco-conscious
2022,West Bengal,3W,36556,6.83,109,1,>100000,46-60,Rural,Practical
2022,West Bengal,4W,25578,1.59,1674,1,40000-60000,60+,Rural,Cost-conscious
2022,Rajasthan,2W,85721,8.33,525,1,<20000,46-60,Urban,Cost-conscious
2022,Rajasthan,3W,19050,8.41,513,1,60000-100000,46-60,Urban,Eco-conscious
2022,Rajasthan,4W,8289,7.82,769,1,20000-40000,46-60,Semi-Urban,Practical
2022,Punjab,2W,54528,7.52,1047,1,60000-100000,46-60,Rural,Tech-savvy
2022,Punjab,3W,31000,4.5,361,1,<20000,18-25,Rural,Practical
2022,Punjab,4W,15205,6.85,1145,1,20000-40000,46-60,Rural,Eco-conscious
2022,Telangana,2W,88275,8.38,541,1,<20000,46-60,Rural,Cost-conscious
2022,Telangana,3W,7470,7.09,606,1,60000-100000,46-60,Semi-Urban,Eco-conscious
2022,Telangana,4W,58523,10.91,1801,1,20000-40000,36-45,Rural,Tech-savvy
2023,Delhi,2W,24620,2.4,889,1,>100000,36-45,Rural,Luxury-focused
2023,Delhi,3W,84823,2.21,1247,1,20000-40000,46-60,Urban,Cost-conscious
2023,Delhi,4W,4291,10.72,1604,1,60000-100000,46-60,Semi-Urban,Practical
2023,Maharashtra,2W,53057,9.7,949,1,60000-100000,60+,Semi-Urban,Tech-savvy
2023,Maharashtra,3W,52918,4.9,1916,1,20000-40000,36-45,Semi-Urban,Luxury-focused
2023,Maharashtra,4W,46430,5.54,1274,1,20000-40000,46-60,Semi-Urban,Cost-conscious
2023,Karnataka,2W,58268,11.26,1129,1,60000-100000,36-45,Urban,Eco-conscious
2023,Karnataka,3W,85249,5.22,1984,1,<20000,26-35,Urban,Cost-conscious
2023,Karnataka,4W,64699,11.57,1914,1,<20000,26-35,Urban,Tech-savvy
2023,Tamil Nadu,2W,76041,2.87,1538,1,40000-60000,46-60,Urban,Practical
2023,Tamil Nadu,3W,71853,3.51,1881,1,<20000,46-60,Semi-Urban,Eco-conscious
2023,Tamil Nadu,4W,33134,4.83,1366,1,40000-60000,36-45,Urban,Luxury-focused
2023,Gujarat,2W,44460,1.24,663,1,40000-60000,46-60,Semi-Urban,Eco-conscious
2023,Gujarat,3W,61121,5.14,114,1,40000-60000,36-45,Semi-Urban,Practical
2023,Gujarat,4W,14960,5.34,1550,1,40000-60000,60+,Urban,Tech-savvy
2023,Uttar Pradesh,2W,21835,3.39,216,1,40000-60000,60+,Rural,Luxury-focused
2023,Uttar Pradesh,3W,40290,11.69,630,1,60000-100000,36-45,Semi-Urban,Eco-conscious
2023,Uttar Pradesh,4W,38505,2.56,286,1,40000-60000,46-60,Rural,Eco-conscious
2023,West Bengal,2W,52742,2.44,94,1,40000-60000,18-25,Semi-Urban,Eco-conscious
2023,West Bengal,3W,11089,3.38,1542,1,20000-40000,18-25,Semi-Urban,Cost-conscious
2023,West Bengal,4W,19948,3.88,1117,1,20000-40000,36-45,Urban,Tech-savvy
2023,Rajasthan,2W,36396,8.38,946,1,20000-40000,36-45,Rural,Cost-conscious
2023,Rajasthan,3W,71301,9.95,1097,1,20000-40000,46-60,Rural,Eco-conscious
2023,Rajasthan,4W,77580,1.12,1948,1,60000-100000,36-45,Rural,Luxury-focused
2023,Punjab,2W,61484,6.0,1337,1,<20000,36-45,Urban,Luxury-focused
2023,Punjab,3W,9040,5.99,295,1,20000-40000,18-25,Urban,Cost-conscious
2023,Punjab,4W,28512,11.14,46,1,>100000,46-60,Rural,Eco-conscious
2023,Telangana,2W,16707,1.19,269,1,40000-60000,36-45,Rural,Practical
2023,Telangana,3W,43361,4.08,162,1,>100000,18-25,Rural,Eco-conscious
2023,Telangana,4W,86101,4.38,1489,1,20000-40000,46-60,Urban,Eco-conscious
2024,Delhi,2W,8302,5.35,1082,1,40000-60000,46-60,Urban,Cost-conscious
2024,Delhi,3W,42620,5.73,212,1,>100000,26-35,Semi-Urban,Practical
2024,Delhi,4W,35208,9.79,1397,1,60000-100000,26-35,Semi-Urban,Luxury-focused
2024,Maharashtra,2W,5080,1.51,906,1,40000-60000,46-60,Urban,Cost-conscious
